ma_hoc_sinh,so_thich,ky_nang
SV0000,"nấu ăn healthy, chạy bộ Strava, làm portfolio online, học kỹ năng nói trước đám đông, chơi game giải đố","thiết kế UI/UX cho website, quản trị nông nghiệp và bền vững, mã hóa dữ liệu cơ bản, quản lý thời gian, giao dịch chứng khoán"
SV0001,"xem phim sci-fi, du lịch, học nhảy trên YouTube, chơi Rubik, xem video TEDx","phát hiện lỗ hổng OWASP, quản trị nhân lực hiện đại, quản lý đổi mới sáng tạo trong doanh nghiệp, quản lý mật khẩu an toàn, xây dựng hệ thống hỗ trợ ra quyết định"
SV0002,"nấu ăn healthy, thử các quán cà phê mới, nghe podcast UX/UI, viết báo cáo kỹ thuật, theo dõi các trang TechCrunch, Hacker News","thiết kế trải nghiệm sự kiện, phân tích dữ liệu định lượng, phân tích hành vi người dùng, thiết kế UI/UX cho website, định giá tài sản"
SV0003,"cắm trại, xem vlog du học ngành IT, chơi game mô phỏng (SimCity, Factorio...), viết content cho mạng xã hội, xem video TEDx","phân tích log hệ thống, mã hóa dữ liệu cơ bản, quản lý đơn hàng, phân tích dữ liệu định lượng, kiểm thử bảo mật"
SV0004,"làm video dạng slide ngắn, học nhảy trên YouTube, xem video TEDx, thiết kế poster, viết báo cáo kỹ thuật","viết tài liệu SRS, kế toán tài chính doanh nghiệp, quản trị nhân lực hiện đại, triển khai ứng dụng web, phát hiện lỗ hổng OWASP"
SV0005,"viết báo cáo kỹ thuật, chạy thử chatbot, nấu ăn, tìm hiểu AI, đạp xe buổi chiều","phân tích luật kinh tế và kinh doanh quốc tế, viết báo cáo, quản trị nhân lực hiện đại, tạo báo cáo với Power BI, xây dựng hệ thống an toàn thông tin doanh nghiệp"
SV0006,"xem phim, nấu ăn healthy, nghe podcast UX/UI, chạy thử chatbot, chơi game giải đố","xử lý dữ liệu với Pandas, lập trình Java, vẽ quy trình BPMN, viết truy vấn SQL, xây dựng mô hình học máy nâng cao"
SV0007,"tập gym, viết báo cáo kỹ thuật, viết blog cá nhân, học kỹ năng nói trước đám đông, làm video dạng slide ngắn","tạo báo cáo với Power BI, quản trị hệ thống Linux, xây dựng hệ thống an toàn thông tin doanh nghiệp, ứng dụng hệ thống CRM, thiết kế UI/UX cho website"
SV0008,"follow các dev trên YouTube, tìm hiểu AI, nấu ăn healthy, xem video phân tích dữ liệu, chơi game","vẽ biểu đồ với Matplotlib, tạo dashboard KPI, viết báo cáo, tích hợp tài chính công nghệ (FinTech), hiểu cấu trúc dữ liệu & giải thuật"
SV0009,"tập vẽ tay, chơi game, viết content cho mạng xã hội, follow các dev trên YouTube, theo dõi các trang TechCrunch, Hacker News","viết nội dung marketing, quản trị nhân lực hiện đại, xây dựng hệ thống hỗ trợ ra quyết định, chạy quảng cáo cơ bản, trình bày báo cáo"
SV0010,"làm video dạng slide ngắn, làm đồ handmade, thiền và yoga, xem phim, học ngoại ngữ mới","quản trị nhân lực hiện đại, xây dựng hệ thống hỗ trợ ra quyết định, quản lý thời gian, phân tích luật kinh tế và kinh doanh quốc tế, phân tích dữ liệu định lượng"
SV0011,"nghe podcast UX/UI, học kỹ năng nói trước đám đông, viết content cho mạng xã hội, nấu ăn, trồng cây mini trong phòng","trình bày báo cáo, phát hiện lỗ hổng OWASP, ứng dụng trí tuệ nhân tạo trong kinh doanh, quản lý thời gian, giao tiếp hiệu quả"
SV0012,"follow fashion tech trends, thiền và yoga, vọc Python, chạy thử chatbot, thể thao","thiết kế truyền thông đa phương tiện, lập kế hoạch thuế và khai thuế, thực hành CTF cơ bản, kiểm thử bảo mật, hiểu cấu trúc dữ liệu & giải thuật"
SV0013,"tập gym, viết blog công nghệ, nghe lo-fi khi code, thiền và yoga, tham gia workshop chuyên ngành","quản lý dự án sáng tạo, trình bày báo cáo, chạy quảng cáo cơ bản, quản lý mật khẩu an toàn, phân tích rủi ro tài chính"
SV0014,"chia sẻ kiến thức trên LinkedIn, vẽ giao diện app, xem phim sci-fi, xem phim, viết blog cá nhân","triển khai ứng dụng web, làm việc nhóm, kế toán tài chính doanh nghiệp, phân tích log hệ thống, quản lý logistics và chuỗi cung ứng"
SV0015,"vẽ digital art, viết truyện ngắn, thử dựng infographic, xây web cá nhân, tìm hiểu AI","ứng dụng hệ thống CRM, kế toán tài chính doanh nghiệp, tích hợp tài chính công nghệ (FinTech), hiểu mô hình ERP, vẽ biểu đồ với Matplotlib"
SV0016,"chia sẻ kiến thức trên LinkedIn, làm portfolio online, nghe podcast UX/UI, nghe lo-fi khi code, viết truyện ngắn","thiết kế truyền thông đa phương tiện, trình bày báo cáo, kiểm toán nội bộ và bên ngoài, phân tích hình ảnh và video trong truyền thông số, phân tích nghiệp vụ"
SV0017,"nghe podcast UX/UI, xem vlog du học ngành IT, đọc sách self-help, cắm trại, follow fashion tech trends","hiểu cấu trúc dữ liệu & giải thuật, phân tích log hệ thống, quản lý đổi mới sáng tạo trong doanh nghiệp, kế toán tài chính doanh nghiệp, ứng dụng trí tuệ nhân tạo trong kinh doanh"
SV0018,"xem video phân tích dữ liệu, làm portfolio online, nghe nhạc indie, xây web cá nhân, tham gia workshop chuyên ngành","quản trị hệ thống Linux, xây dựng hệ thống hỗ trợ ra quyết định, xử lý dữ liệu với Pandas, quản trị nhân lực hiện đại, quản lý quỹ đầu tư"
SV0019,"viết blog cá nhân, trồng cây mini trong phòng, sưu tầm đồ công nghệ, quay Tiktok chia sẻ kiến thức, viết báo cáo kỹ thuật","xây dựng hệ thống an toàn thông tin doanh nghiệp, tạo dashboard KPI, phân tích dữ liệu định lượng, phân tích nghiệp vụ, quản lý đổi mới sáng tạo trong doanh nghiệp"
SV0020,"nấu ăn, thử dựng infographic, quay Tiktok chia sẻ kiến thức, chơi Rubik, nấu ăn healthy","triển khai ứng dụng web, giao tiếp hiệu quả, hiểu mô hình ERP, quản lý gian hàng online, quản trị nông nghiệp và bền vững"
SV0021,"trồng cây mini trong phòng, tìm hiểu Blockchain, luyện kỹ năng phản biện, nấu ăn healthy, chạy thử chatbot","quản lý quỹ đầu tư, tạo dashboard KPI, vẽ biểu đồ với Matplotlib, viết truy vấn SQL, tự động hóa quy trình bằng điều khiển thông minh"
SV0022,"thiết kế CV cá nhân đẹp, viết blog cá nhân, đọc sách, âm nhạc, du lịch","thiết kế truyền thông đa phương tiện, quản lý thời gian, phân tích log hệ thống, quản lý quỹ đầu tư, quản lý logistics và chuỗi cung ứng"
SV0023,"làm video dạng slide ngắn, tập vẽ tay, thiết kế CV cá nhân đẹp, xem phim, chơi game","quản lý dự án sáng tạo, làm việc với Git, quản trị nhân lực hiện đại, quản lý mật khẩu an toàn, mã hóa dữ liệu cơ bản"
SV0024,"đọc sách self-help, chơi nhạc cụ, chơi game, chụp ảnh sản phẩm, vẽ giao diện app","vẽ biểu đồ với Matplotlib, vận hành hệ thống thương mại điện tử, phát hiện lỗ hổng OWASP, quản lý thời gian, phân tích rủi ro tài chính"
SV0025,"tìm hiểu AI, viết blog công nghệ, follow các dev trên YouTube, xem phim, nghe nhạc indie","viết nội dung marketing, quản trị nông nghiệp và bền vững, quản lý mật khẩu an toàn, giao dịch chứng khoán, phân tích rủi ro tài chính"
SV0026,"viết blog cá nhân, vẽ digital art, lập kế hoạch học tập, tập gym, chia sẻ kiến thức trên LinkedIn","phân tích rủi ro tài chính, lập trình Python, chạy quảng cáo cơ bản, tạo dashboard KPI, quản lý logistics và chuỗi cung ứng"
